data,pred_faturamento
2026-03-01,15671.50164000009
2026-03-02,15864.284300000081
2026-03-03,13230.307170666707
2026-03-04,12564.852970666698
2026-03-05,12144.80308666669
2026-03-06,13949.147344000054
2026-03-07,13468.302386666714
2026-03-08,13870.891160000047
2026-03-09,13584.623804000037
2026-03-10,13403.40547066671
2026-03-11,13396.32881066671
2026-03-12,13472.804130666707
2026-03-13,13516.100310666703
2026-03-14,13492.089346666711
2026-03-15,13506.605726666709
2026-03-16,13478.320810666704
2026-03-17,13468.584710666704
2026-03-18,13489.634750666706
2026-03-19,13499.0217706667
2026-03-20,13479.415590666707
2026-03-21,13503.65096666671
2026-03-22,13497.458046666708
2026-03-23,13465.310290666706
2026-03-24,13489.605950666706
2026-03-25,13498.241590666707
2026-03-26,13497.176790666703
2026-03-27,13504.912610666706
2026-03-28,13491.945286666709
2026-03-29,13503.36056666671
2026-03-30,13490.869810666705
